area,category,iter_1_score,iter_1_date,iter_2_score,iter_2_date,iter_3_score,iter_3_date,iter_4_score,iter_4_date,iter_5_score,iter_5_date,iter_6_score,iter_6_date,iter_7_score,iter_7_date,iter_8_score,iter_8_date,iter_9_score,iter_9_date,iter_10_score,iter_10_date,target,status
api-rest,uri-design,7.0,2026-04-10,7.0,2026-04-11,7.0,2026-04-12,,,,,,,,,,,,,,,8.5,in-progress
api-rest,http-verbs,6.5,2026-04-10,8.0,2026-04-11,7.0,2026-04-12,,,,,,,,,,,,,,,8.0,in-progress
api-rest,organization,5.5,2026-04-10,6.0,2026-04-11,8.0,2026-04-12,,,,,,,,,,,,,,,8.0,achieved
api-rest,auth-security,7.0,2026-04-10,7.5,2026-04-11,7.0,2026-04-12,,,,,,,,,,,,,,,8.5,in-progress
api-rest,consistency,5.0,2026-04-10,6.5,2026-04-11,8.0,2026-04-12,,,,,,,,,,,,,,,8.0,achieved
api-rest,crud-completeness,7.5,2026-04-10,8.0,2026-04-11,9.0,2026-04-12,,,,,,,,,,,,,,,8.0,achieved
api-rest,pagination-filtering,4.0,2026-04-10,4.0,2026-04-11,7.0,2026-04-12,,,,,,,,,,,,,,,8.0,in-progress
api-rest,http-status-codes,3.5,2026-04-10,7.5,2026-04-11,9.0,2026-04-12,,,,,,,,,,,,,,,8.0,achieved
api-rest,schemas-models,7.0,2026-04-10,7.0,2026-04-11,8.0,2026-04-12,,,,,,,,,,,,,,,8.0,achieved
api-rest,documentation-dx,5.5,2026-04-10,5.5,2026-04-11,8.0,2026-04-12,,,,,,,,,,,,,,,8.0,achieved
api-rest,GLOBAL,58.5,2026-04-10,67.0,2026-04-11,78.0,2026-04-12,,,,,,,,,,,,,,,85.0,in-progress
portal-web-conversion,landing-clarity,7.0,2026-05-29,,,,,,,,,,,,,,,,,,,8.0,in-progress
portal-web-conversion,school-selection,7.0,2026-05-29,,,,,,,,,,,,,,,,,,,8.0,in-progress
portal-web-conversion,catalog-ux,6.5,2026-05-29,,,,,,,,,,,,,,,,,,,8.0,in-progress
portal-web-conversion,product-detail,4.0,2026-05-29,,,,,,,,,,,,,,,,,,,8.0,in-progress
portal-web-conversion,cart-checkout,1.0,2026-05-29,,,,,,,,,,,,,,,,,,,8.0,in-progress
portal-web-conversion,registration,5.0,2026-05-29,,,,,,,,,,,,,,,,,,,7.0,in-progress
portal-web-conversion,payment-flow,6.0,2026-05-29,,,,,,,,,,,,,,,,,,,8.0,in-progress
portal-web-conversion,confirmation,2.0,2026-05-29,,,,,,,,,,,,,,,,,,,8.0,in-progress
portal-web-conversion,mobile-ux,5.0,2026-05-29,,,,,,,,,,,,,,,,,,,8.0,in-progress
portal-web-conversion,trust-credibility,5.0,2026-05-29,,,,,,,,,,,,,,,,,,,7.0,in-progress
portal-web-conversion,GLOBAL,48.5,2026-05-29,,,,,,,,,,,,,,,,,,,80.0,in-progress
portal-web-mobile,load-speed,,,,,,,,,,,,,,,,,,,,,8.0,pending
portal-web-mobile,touch-targets,,,,,,,,,,,,,,,,,,,,,8.0,pending
portal-web-mobile,navigation,,,,,,,,,,,,,,,,,,,,,8.0,pending
portal-web-mobile,forms,,,,,,,,,,,,,,,,,,,,,8.0,pending
portal-web-mobile,images,,,,,,,,,,,,,,,,,,,,,7.0,pending
portal-web-mobile,scroll-layout,,,,,,,,,,,,,,,,,,,,,8.0,pending
portal-web-mobile,checkout-mobile,,,,,,,,,,,,,,,,,,,,,8.0,pending
portal-web-mobile,whatsapp-cta,,,,,,,,,,,,,,,,,,,,,8.0,pending
portal-web-mobile,readability,,,,,,,,,,,,,,,,,,,,,8.0,pending
portal-web-mobile,performance,,,,,,,,,,,,,,,,,,,,,8.0,pending
portal-web-mobile,GLOBAL,,,,,,,,,,,,,,,,,,,,,80.0,pending
portal-web-seo,meta-tags,5,2026-04-12,8,2026-04-12,7,2026-04-12,6,2026-04-12,,,,,,,,,,,,,7.0,in-progress
portal-web-seo,headings,7,2026-04-12,8,2026-04-12,7,2026-04-12,5,2026-04-12,,,,,,,,,,,,,8.0,in-progress
portal-web-seo,url-structure,3,2026-04-12,4,2026-04-12,5,2026-04-12,3,2026-04-12,,,,,,,,,,,,,8.0,in-progress
portal-web-seo,schema-org,0,2026-04-12,7,2026-04-12,8,2026-04-12,7,2026-04-12,,,,,,,,,,,,,7.0,regressed
portal-web-seo,image-alt,5,2026-04-12,7,2026-04-12,6,2026-04-12,7,2026-04-12,,,,,,,,,,,,,7.0,achieved
portal-web-seo,core-web-vitals,6,2026-04-12,8,2026-04-12,7,2026-04-12,7,2026-04-12,,,,,,,,,,,,,7.0,achieved
portal-web-seo,local-seo,2,2026-04-12,7,2026-04-12,7,2026-04-12,6,2026-04-12,,,,,,,,,,,,,8.0,in-progress
portal-web-seo,sitemap-robots,1,2026-04-12,7,2026-04-12,8,2026-04-12,5,2026-04-12,,,,,,,,,,,,,8.0,regressed
portal-web-seo,ssr-indexability,5,2026-04-12,9,2026-04-12,8,2026-04-12,8,2026-04-12,,,,,,,,,,,,,8.0,achieved
portal-web-seo,mobile-friendly,7,2026-04-12,6,2026-04-12,7,2026-04-12,7,2026-04-12,,,,,,,,,,,,,8.0,in-progress
portal-web-seo,GLOBAL,41,2026-04-12,71,2026-04-12,70,2026-04-12,61,2026-04-12,,,,,,,,,,,,,75.0,in-progress
app-desktop-pos,product-search,4.0,2026-04-12,,,,,,,,,,,,,,,,,,,9.0,in-progress
app-desktop-pos,cart-management,5.0,2026-04-12,,,,,,,,,,,,,,,,,,,8.0,in-progress
app-desktop-pos,payment-flow,7.0,2026-04-12,,,,,,,,,,,,,,,,,,,9.0,in-progress
app-desktop-pos,speed-efficiency,3.0,2026-04-12,,,,,,,,,,,,,,,,,,,9.0,in-progress
app-desktop-pos,keyboard-shortcuts,1.0,2026-04-12,,,,,,,,,,,,,,,,,,,8.0,in-progress
app-desktop-pos,error-handling,5.0,2026-04-12,,,,,,,,,,,,,,,,,,,8.0,in-progress
app-desktop-pos,post-sale-flow,6.0,2026-04-12,,,,,,,,,,,,,,,,,,,8.0,in-progress
app-desktop-pos,multi-payment,8.0,2026-04-12,,,,,,,,,,,,,,,,,,,8.0,achieved
app-desktop-pos,change-return,7.0,2026-04-12,,,,,,,,,,,,,,,,,,,8.0,in-progress
app-desktop-pos,receipt-printing,2.0,2026-04-12,,,,,,,,,,,,,,,,,,,9.0,in-progress
app-desktop-pos,GLOBAL,48,2026-04-12,,,,,,,,,,,,,,,,,,,85.0,in-progress
app-desktop-orders,order-creation,,,,,,,,,,,,,,,,,,,,,8.0,pending
app-desktop-orders,order-list-filters,,,,,,,,,,,,,,,,,,,,,8.0,pending
app-desktop-orders,item-status-tracking,,,,,,,,,,,,,,,,,,,,,8.0,pending
app-desktop-orders,demand-aggregation,,,,,,,,,,,,,,,,,,,,,8.0,pending
app-desktop-orders,delivery-payment,,,,,,,,,,,,,,,,,,,,,8.0,pending
app-desktop-orders,order-changes,,,,,,,,,,,,,,,,,,,,,8.0,pending
app-desktop-orders,web-orders-integration,,,,,,,,,,,,,,,,,,,,,8.0,pending
app-desktop-orders,notifications,,,,,,,,,,,,,,,,,,,,,7.0,pending
app-desktop-orders,production-view,,,,,,,,,,,,,,,,,,,,,7.0,pending
app-desktop-orders,custom-measurements,,,,,,,,,,,,,,,,,,,,,8.0,pending
app-desktop-orders,GLOBAL,,,,,,,,,,,,,,,,,,,,,80.0,pending
app-desktop-ui,visual-consistency,,,,,,,,,,,,,,,,,,,,,8.0,pending
app-desktop-ui,layout-spacing,,,,,,,,,,,,,,,,,,,,,8.0,pending
app-desktop-ui,color-typography,,,,,,,,,,,,,,,,,,,,,8.0,pending
app-desktop-ui,feedback-states,,,,,,,,,,,,,,,,,,,,,8.0,pending
app-desktop-ui,tables-lists,,,,,,,,,,,,,,,,,,,,,8.0,pending
app-desktop-ui,forms-validation,,,,,,,,,,,,,,,,,,,,,8.0,pending
app-desktop-ui,navigation,,,,,,,,,,,,,,,,,,,,,8.0,pending
app-desktop-ui,modals-dialogs,,,,,,,,,,,,,,,,,,,,,8.0,pending
app-desktop-ui,render-performance,,,,,,,,,,,,,,,,,,,,,8.0,pending
app-desktop-ui,dark-mode,,,,,,,,,,,,,,,,,,,,,7.0,pending
app-desktop-ui,GLOBAL,,,,,,,,,,,,,,,,,,,,,80.0,pending
security-owasp,bola-api1,2.5,2026-04-12,6.0,2026-04-12,4.0,2026-04-12,6.0,2026-04-12,,,,,,,,,,,,,9.0,in-progress
security-owasp,broken-auth-api2,3.0,2026-04-12,6.0,2026-04-12,4.5,2026-04-12,7.0,2026-04-12,,,,,,,,,,,,,9.0,in-progress
security-owasp,property-auth-api3,4.0,2026-04-12,7.0,2026-04-12,7.0,2026-04-12,7.0,2026-04-12,,,,,,,,,,,,,8.0,in-progress
security-owasp,resource-consumption-api4,3.5,2026-04-12,5.0,2026-04-12,5.5,2026-04-12,6.0,2026-04-12,,,,,,,,,,,,,8.0,in-progress
security-owasp,function-auth-api5,2.0,2026-04-12,6.0,2026-04-12,3.5,2026-04-12,6.0,2026-04-12,,,,,,,,,,,,,9.0,in-progress
security-owasp,sensitive-flows-api6,3.0,2026-04-12,3.0,2026-04-12,5.5,2026-04-12,6.0,2026-04-12,,,,,,,,,,,,,8.0,in-progress
security-owasp,ssrf-api7,5.0,2026-04-12,7.0,2026-04-12,6.0,2026-04-12,8.0,2026-04-12,,,,,,,,,,,,,9.0,in-progress
security-owasp,misconfiguration-api8,4.0,2026-04-12,7.0,2026-04-12,5.0,2026-04-12,8.0,2026-04-12,,,,,,,,,,,,,8.0,achieved
security-owasp,inventory-api9,5.5,2026-04-12,8.0,2026-04-12,7.0,2026-04-12,8.0,2026-04-12,,,,,,,,,,,,,8.0,achieved
security-owasp,unsafe-consumption-api10,3.0,2026-04-12,8.0,2026-04-12,7.0,2026-04-12,7.0,2026-04-12,,,,,,,,,,,,,8.0,in-progress
security-owasp,GLOBAL,35.0,2026-04-12,63.0,2026-04-12,55.0,2026-04-12,69.0,2026-04-12,,,,,,,,,,,,,85.0,in-progress
performance,n-plus-1-queries,,,,,,,,,,,,,,,,,,,,,8.0,pending
performance,aggregation-cost,,,,,,,,,,,,,,,,,,,,,8.0,pending
performance,unpaginated-lists,,,,,,,,,,,,,,,,,,,,,9.0,pending
performance,search-cost,,,,,,,,,,,,,,,,,,,,,8.0,pending
performance,report-endpoints,,,,,,,,,,,,,,,,,,,,,8.0,pending
performance,sse-long-polling,,,,,,,,,,,,,,,,,,,,,8.0,pending
performance,bulk-operations,,,,,,,,,,,,,,,,,,,,,8.0,pending
performance,caching-strategy,,,,,,,,,,,,,,,,,,,,,7.0,pending
performance,db-indexes,,,,,,,,,,,,,,,,,,,,,8.0,pending
performance,concurrent-load,,,,,,,,,,,,,,,,,,,,,8.0,pending
performance,GLOBAL,,,,,,,,,,,,,,,,,,,,,80.0,pending
accessibility-wcag,non-text-content,,,,,,,,,,,,,,,,,,,,,7.0,pending
accessibility-wcag,info-relationships,,,,,,,,,,,,,,,,,,,,,7.0,pending
accessibility-wcag,contrast,,,,,,,,,,,,,,,,,,,,,8.0,pending
accessibility-wcag,resize-text,,,,,,,,,,,,,,,,,,,,,7.0,pending
accessibility-wcag,keyboard-nav,,,,,,,,,,,,,,,,,,,,,8.0,pending
accessibility-wcag,focus-order,,,,,,,,,,,,,,,,,,,,,7.0,pending
accessibility-wcag,focus-visible,,,,,,,,,,,,,,,,,,,,,8.0,pending
accessibility-wcag,language,,,,,,,,,,,,,,,,,,,,,9.0,pending
accessibility-wcag,error-identification,,,,,,,,,,,,,,,,,,,,,8.0,pending
accessibility-wcag,labels-inputs,,,,,,,,,,,,,,,,,,,,,8.0,pending
accessibility-wcag,GLOBAL,,,,,,,,,,,,,,,,,,,,,75.0,pending
product-market-fit,problem-validation,,,,,,,,,,,,,,,,,,,,,8.0,pending
product-market-fit,feature-coverage,,,,,,,,,,,,,,,,,,,,,8.0,pending
product-market-fit,complexity-balance,,,,,,,,,,,,,,,,,,,,,8.0,pending
product-market-fit,differentiation,,,,,,,,,,,,,,,,,,,,,7.0,pending
product-market-fit,saas-readiness,,,,,,,,,,,,,,,,,,,,,7.0,pending
product-market-fit,seasonality,,,,,,,,,,,,,,,,,,,,,7.0,pending
product-market-fit,missed-opportunities,,,,,,,,,,,,,,,,,,,,,7.0,pending
product-market-fit,monetization,,,,,,,,,,,,,,,,,,,,,7.0,pending
product-market-fit,user-retention,,,,,,,,,,,,,,,,,,,,,7.0,pending
product-market-fit,competitive-moat,,,,,,,,,,,,,,,,,,,,,7.0,pending
product-market-fit,GLOBAL,,,,,,,,,,,,,,,,,,,,,80.0,pending
compliance-colombia,facturacion-electronica,,,,,,,,,,,,,,,,,,,,,7.0,pending
compliance-colombia,iva-handling,,,,,,,,,,,,,,,,,,,,,7.0,pending
compliance-colombia,retencion-fuente,,,,,,,,,,,,,,,,,,,,,6.0,pending
compliance-colombia,nomina-electronica,,,,,,,,,,,,,,,,,,,,,7.0,pending
compliance-colombia,informacion-exogena,,,,,,,,,,,,,,,,,,,,,6.0,pending
compliance-colombia,proteccion-datos,,,,,,,,,,,,,,,,,,,,,8.0,pending
compliance-colombia,medios-pago-sfc,,,,,,,,,,,,,,,,,,,,,7.0,pending
compliance-colombia,libros-contables,,,,,,,,,,,,,,,,,,,,,7.0,pending
compliance-colombia,niif-pymes,,,,,,,,,,,,,,,,,,,,,7.0,pending
compliance-colombia,dian-reportes,,,,,,,,,,,,,,,,,,,,,6.0,pending
compliance-colombia,GLOBAL,,,,,,,,,,,,,,,,,,,,,75.0,pending
data-model,entity-relationships,,,,,,,,,,,,,,,,,,,,,8.0,pending
data-model,multi-tenant-isolation,,,,,,,,,,,,,,,,,,,,,9.0,pending
data-model,audit-fields,,,,,,,,,,,,,,,,,,,,,8.0,pending
data-model,data-types,,,,,,,,,,,,,,,,,,,,,8.0,pending
data-model,indexes,,,,,,,,,,,,,,,,,,,,,8.0,pending
data-model,referential-integrity,,,,,,,,,,,,,,,,,,,,,8.0,pending
data-model,accounting-model,,,,,,,,,,,,,,,,,,,,,8.0,pending
data-model,enum-strategy,,,,,,,,,,,,,,,,,,,,,8.0,pending
data-model,scalability,,,,,,,,,,,,,,,,,,,,,8.0,pending
data-model,normalization,,,,,,,,,,,,,,,,,,,,,8.0,pending
data-model,GLOBAL,,,,,,,,,,,,,,,,,,,,,85.0,pending
